"Test Suite","Test Case","Test Step","Step Type","Step Status","Result message","Execution Date"
"Sanity Test Suite","TC_001_Capital_City","Find Capital City","request","OK","","07-Jul-2024 16_35",
"Sanity Test Suite","TC_001_Capital_City","Find Capital City= -VE","request","OK","","07-Jul-2024 16_35",
"Sanity Test Suite","TC_002_Countries_With_Currency_Code","Countries with Currency Code","request","OK","","07-Jul-2024 16_35",
"Sanity Test Suite","TC_002_Countries_With_Currency_Code","Countries with Currency Code - VE","request","OK","","07-Jul-2024 16_35",
"Sanity Test Suite","TC_003_Currency_By_Country_Code","Find Currency By Country Code","request","OK","","07-Jul-2024 16_35",
"Sanity Test Suite","TC_003_Currency_By_Country_Code","Find Currency By Country Code - VE","request","OK","","07-Jul-2024 16_35",
"Sanity Test Suite","TC_004_Flag_URl_By_Country_Code","Find Flag URL with Country Code","request","OK","","07-Jul-2024 16_35",
"Sanity Test Suite","TC_004_Flag_URl_By_Country_Code","Find Flag URL with Country Code -VE","request","OK","","07-Jul-2024 16_35",
"Sanity Test Suite","TC_005_ISO_CODE_By_County_Name","Find ISO code of a country by Country Name","request","OK","","07-Jul-2024 16_35",
"Sanity Test Suite","TC_005_ISO_CODE_By_County_Name","Find ISO code of a country by Country Name -VE","request","OK","","07-Jul-2024 16_35",
"Sanity Test Suite","TC_006_Country_Name_By_ISO_CODE","Finde Name of country with its ISO Code","request","OK","","07-Jul-2024 16_35",
"Sanity Test Suite","TC_006_Country_Name_By_ISO_CODE","Finde Name of country with its ISO Code -VE","request","OK","","07-Jul-2024 16_35",
"Sanity Test Suite","TC_007_Phone_Code_With_ISO_Code","Find country's Phone Code with Coutry's ISO Code","request","OK","","07-Jul-2024 16_35",
"Sanity Test Suite","TC_007_Phone_Code_With_ISO_Code","Find country's Phone Code with Coutry's ISO Code -VE","request","OK","","07-Jul-2024 16_35",
"Sanity Test Suite","TC_008_Currency_Name_With_Currency_Code","Find Name of currency with a Currency Code","request","OK","","07-Jul-2024 16_35",
"Sanity Test Suite","TC_008_Currency_Name_With_Currency_Code","Find Name of currency with a Currency Code _VE","request","OK","","07-Jul-2024 16_35",
"Sanity Test Suite","TC_009_Full_County_Info_With_Country_CODE","Find Full Country Info With Counrty ISO Code","request","OK","","07-Jul-2024 16_35",
